T_su,P_su,h_su,s_su,T_ex,P_ex,h_ex_s,RPM,m_dot_wf,Torque,Press.Ratio,W_shaft,deltaH,Spec.Vol.Suc.,h_evap_in,Eff_s,BTE,Eff_v,h_ex,H_dot,Q_dot_loss
367.6,772635.7,480103.7,1832.4,345.3,256415.5,458313.2,2000,0.0817,6.123,3.01,1282,21790.49,0.0254,226398.9,0.72,0.062,0.87,466350.1,1123,-159
367.7,762625.9,480398.2,1833.9,344.1,227857.5,456495.8,2000,0.0808,6.446,3.35,1349,23902.32,0.0258,226202.7,0.7,0.066,0.88,465739.9,1185,-164
367.6,763687.8,480232.3,1833.4,344,227921.4,456325.6,2000,0.0812,6.455,3.35,1351,23906.75,0.0257,225933.5,0.7,0.065,0.88,465623.7,1186,-166
367.7,766956.6,480277.3,1833.3,344.1,227460,456250.5,2000,0.0817,6.5,3.37,1361,24026.82,0.0256,225779.3,0.69,0.065,0.88,465668.1,1193,-168
367.8,802244.7,479698,1829.3,344,233394.3,455430,2000,0.0869,6.871,3.44,1438,24268,0.0243,225753.8,0.68,0.065,0.89,465472.1,1236,-202
367.2,801678.2,479122,1827.8,343.6,233141,454898.7,2000,0.0866,6.872,3.44,1439,24223.25,0.0242,225887.2,0.69,0.066,0.88,465158,1210,-229
367.7,803369.3,479580.3,1828.9,344,233818.7,455333.9,2000,0.0868,6.895,3.44,1443,24246.32,0.0242,225985.8,0.69,0.066,0.88,465489.5,1223,-221
372.7,813763.9,484931.7,1842.7,348.3,231795.4,459788.8,2000,0.0857,7.1,3.51,1486,25142.91,0.0244,225906.1,0.69,0.067,0.88,469781,1299,-188
372.2,847994.6,483830.7,1837.5,348,238175.9,458590.9,2000,0.0912,7.425,3.56,1554,25239.85,0.0232,225802.1,0.68,0.066,0.89,469348.6,1321,-233
371.4,840613,483000,1835.8,347.5,239075,458068.2,2000,0.0897,7.333,3.5,1535,24931.73,0.0233,225962.2,0.69,0.067,0.88,468854.7,1269,-266
372.5,851030.1,484022.1,1837.9,348.3,240475.2,458890.4,2000,0.0911,7.456,3.54,1561,25131.72,0.0231,226084.1,0.68,0.066,0.89,469631.3,1311,-250
372.5,878099.2,483530.4,1834.9,347.1,219018,456053.1,2000,0.0951,8.091,4.01,1694,27477.34,0.0222,225920.7,0.65,0.069,0.89,468840.9,1397,-296
372.7,875720.6,483861.8,1835.9,347.4,220125.8,456497.1,2000,0.0949,8.062,3.98,1688,27364.76,0.0223,225760.8,0.65,0.069,0.89,469091.5,1401,-286
372.7,844293.1,484416.7,1839.3,347.4,197239.6,455477.6,2500,0.1061,7.409,4.28,1939,28939.09,0.0234,224370.4,0.63,0.07,0.84,469464.8,1587,-352
373,844518.2,484721.2,1840.1,347.7,198494.3,455869.8,2500,0.1061,7.393,4.26,1935,28851.37,0.0234,224370.5,0.63,0.07,0.84,469737.7,1589,-345
372.7,820812.3,484853.7,1842,347.6,194540.9,456095.6,2500,0.1022,7.156,4.22,1873,28758.04,0.0242,224344.4,0.64,0.07,0.83,469716.8,1547,-326
372.8,773164.3,485859.2,1847.9,347.9,188956.2,457490.3,2500,0.0937,6.657,4.09,1742,28368.85,0.026,224320.6,0.66,0.071,0.82,470107.5,1475,-267
373.2,777035.3,486225,1848.6,348.2,188962.8,457729.5,2500,0.0949,6.698,4.11,1753,28495.49,0.0258,224320.1,0.65,0.071,0.83,470424.2,1499,-254
369.2,710540.4,482956.1,1844.7,345,183432.8,455814,2500,0.0863,5.947,3.87,1556,27142.12,0.0282,224256.5,0.66,0.07,0.82,467376.4,1345,-211
367.7,681374.2,481882.7,1844,344.1,181068.9,455346.9,2500,0.0823,5.609,3.76,1468,26535.88,0.0294,224237.1,0.67,0.069,0.82,466565.3,1261,-207
366.6,680698.1,480682.1,1840.8,342.9,181070.1,454279.5,2500,0.0825,5.592,3.76,1463,26402.61,0.0293,224198.9,0.67,0.069,0.81,465403.9,1261,-202
366.7,685960.6,480749.2,1840.6,343.4,190229.1,455171.4,2500,0.0835,5.516,3.61,1443,25577.8,0.0291,224163.4,0.68,0.067,0.82,465666.1,1259,-184
366.6,686429.8,480630.6,1840.2,343.3,191431.9,455175.5,2500,0.0837,5.502,3.59,1440,25455.09,0.029,224114.1,0.68,0.067,0.82,465621,1257,-183
366.6,688771.5,480507.1,1839.7,344.5,216060.1,457386.5,2500,0.0838,5.152,3.19,1348,23120.69,0.0289,224108.5,0.7,0.063,0.82,466272.6,1193,-155
366.7,689886.3,480647,1840,344.9,223418.7,458146.7,2500,0.084,5.105,3.09,1336,22500.24,0.0289,224151.7,0.71,0.062,0.82,466589,1181,-155
365.6,667282.3,479893.8,1839.7,345.3,242703.1,459702.9,2500,0.0817,4.505,2.75,1179,20190.95,0.0299,224193.1,0.71,0.056,0.82,466599,1087,-92
365.8,666327.7,480033.4,1840.2,345.4,241772.5,459782.2,2500,0.0825,4.5,2.76,1178,20251.18,0.0299,224291.8,0.7,0.056,0.83,466682.7,1101,-76
364.5,636229.7,479219.6,1840.5,345.1,245253.8,460166.3,2500,0.0763,4.068,2.59,1064,19053.37,0.0314,224307.1,0.73,0.055,0.81,466336,983,-81
363.8,633469,478488.8,1838.7,344.2,245106.6,459555.6,2500,0.0761,4.047,2.58,1059,18933.15,0.0314,224302.9,0.74,0.055,0.81,465462.8,991,-68
375.2,821872.7,487600.9,1849.3,350.9,201226.2,459205.3,3000,0.1152,6.543,4.08,2055,28395.6,0.0244,224180.7,0.63,0.068,0.79,472806.5,1705,-350
375.2,816632,487765.5,1850.1,350.9,197819.6,459127.9,3000,0.1144,6.516,4.13,2046,28637.55,0.0246,224147.1,0.62,0.068,0.79,472902.4,1700,-346
375.4,771346.2,488704.7,1855.6,350.8,191255.1,460332.8,3000,0.1042,6.078,4.03,1908,28371.84,0.0263,224120.5,0.65,0.069,0.77,472897.5,1647,-262
375,760537.9,488480.6,1855.8,351,190159.1,460273.9,3000,0.1039,5.974,4,1876,28206.7,0.0267,224061.4,0.64,0.068,0.78,473142.3,1593,-283
369.8,701601.4,483774.8,1847.6,346.4,184626.4,456911,3000,0.0965,5.342,3.8,1677,26863.81,0.0287,223970.5,0.65,0.067,0.78,468713.3,1453,-224
369.3,698972.5,483327.7,1846.6,346.2,184289.3,456539,3000,0.0966,5.288,3.79,1661,26788.76,0.0287,223984.9,0.64,0.066,0.78,468531.8,1429,-232
368.5,680853,482763.9,1846.5,345.9,186541.6,456747,3000,0.0937,5.045,3.65,1584,26016.87,0.0295,223966.6,0.65,0.065,0.78,468218.1,1363,-221
368,676911.3,482231,1845.3,345.2,186381.8,456352.7,3000,0.093,4.991,3.63,1567,25878.3,0.0297,223983.9,0.65,0.065,0.77,467542.6,1365,-202
367.3,656255.3,481871.4,1846,345.4,194495,457435.7,3000,0.0898,4.634,3.37,1455,24435.66,0.0307,223990.4,0.66,0.063,0.77,467578.3,1284,-171
365.7,650310.5,480240.7,1842.1,344.2,194308.9,456096,3000,0.0899,4.556,3.35,1431,24144.64,0.0308,223982.6,0.66,0.062,0.78,466409.6,1243,-187
366.8,650889.8,481400.6,1845.2,344.8,193491.7,457054.4,3000,0.0891,4.577,3.36,1437,24346.18,0.0309,223964.2,0.66,0.063,0.77,466955.7,1287,-150
365.7,633436.5,480553.1,1844.4,344.7,202193.7,457650.1,3000,0.0866,4.233,3.13,1329,22903.01,0.0317,223963.7,0.67,0.06,0.77,466743.4,1196,-134
364.8,632663.9,479671.9,1842,343.9,205048.6,457141.6,3000,0.0867,4.196,3.09,1318,22530.27,0.0316,223995.4,0.67,0.059,0.77,465924.5,1193,-125
363.8,599817.2,479167.9,1843.6,344.1,210833,458212.4,3000,0.0814,3.722,2.85,1169,20955.51,0.0335,223922.5,0.68,0.056,0.77,466017.8,1071,-98
363.6,606188.6,478845.6,1842.1,343.8,213905.3,458005.5,3000,0.0826,3.772,2.83,1184,20840.12,0.0331,223890,0.69,0.056,0.77,465638.7,1091,-94
363.5,608884.2,478701.2,1841.5,343.7,215944.2,457977.7,3000,0.0829,3.759,2.82,1180,20723.47,0.0329,223903.3,0.69,0.056,0.77,465523.4,1093,-87
363.5,603203.1,478753.5,1842.1,345.5,240763.7,460358,3000,0.0818,3.221,2.51,1011,18395.52,0.0332,223889.7,0.67,0.049,0.76,466835.8,975,-37
